,gen_problem,gen_solve,gen_variables
2,0.0022101333333329385,0.005105266666665997,80
3,0.004461866666666481,0.007838033333332698,125
4,0.010829099999999888,0.01309549999999978,180
5,0.017186433333333657,0.015558400000000935,245
6,0.024774066666667593,0.02143900000000028,320
7,0.034743999999999886,0.026390266666667255,405
8,0.04541066666666597,0.0333638666666675,500
9,0.06147573333333334,0.04182449999999941,605
10,0.07824349999999984,0.05081106666666694,720
11,0.10205636666666607,0.06171603333333309,845
12,0.13036356666666649,0.0692162999999996,980
13,0.1632426666666659,0.08051766666666656,1125
14,0.2033545666666677,0.09157146666666567,1280
15,0.2520263999999995,0.10930839999999975,1445
16,0.3068274000000007,0.12426403333333387,1620
17,0.3777356,0.13469123333333263,1805
18,0.46233196666666626,0.1548927666666664,2000
19,0.5449497333333339,0.17579539999999957,2205
20,0.6486391999999993,0.1848864000000011,2420
21,0.7837811,0.20986410000000078,2645
22,0.9471364999999968,0.24862753333333623,2880
23,1.0888987333333329,0.24066660000000203,3125
24,1.292544966666668,0.33304006666666436,3380
25,1.4435107666666671,0.31274113333333275,3645
26,1.676071499999999,0.3235358333333309,3920
27,1.9071670333333326,0.326768233333335,4205
28,2.1789910333333373,0.3626327666666593,4500
29,2.4975431333333282,0.37937649999999695,4805
30,2.8146943666666715,0.4949871666666705,5120
